X Y month day temp RH wind rain area
15 1 2 sep sun 25.3 36 3.6 0 0
16 1 2 sep thu 21.5 15 0.9 0 0
17 1 2 sep thu 25.4 27 2.2 0 0
18 1 2 sep thu 22.4 34 2.2 0 0
19 1 2 sep tue 18.8 40 2.2 0 212.88
25 1 3 sep fri 19.1 46 2.2 0 0.33
26 1 3 sep mon 12.4 73 6.3 0 30.32
27 1 3 sep sat 22.3 48 4 0 0.72
28 1 3 sep sun 23.9 32 6.7 0 5.33
29 1 3 sep sun 21.9 43 4 0 70.76
37 1 4 sep fri 21.1 39 2.2 0 8.12
38 1 4 sep mon 18.1 54 3.1 0 2.13
39 1 4 sep mon 21.3 35 2.2 0 28.19
40 1 4 sep sat 24.2 27 3.1 0 0
41 1 4 sep sun 19 52 2.2 0 0
42 1 4 sep sun 14.5 76 7.6 0 3.71
43 1 4 sep thu 16.8 28 4 0 7.21
44 1 4 sep tue 21.7 38 2.2 0 0.43
45 1 5 sep mon 21 42 2.2 0 7.3
46 1 5 sep sat 29.6 27 2.7 0 1.46
47 1 5 sep sun 27.8 27 3.1 0 95.18
48 1 5 sep tue 21.6 33 2.2 0 11.53
69 2 2 sep fri 23 37 4.5 0 0
70 2 2 sep fri 19.6 33 5.4 0 0
71 2 2 sep fri 19.6 33 6.3 0 0
72 2 2 sep mon 16.8 43 3.1 0 5.83
73 2 2 sep sat 18.2 46 1.8 0 200.94
74 2 3 sep mon 18 51 5.4 0 0
94 2 4 sep mon 22.6 38 3.6 0 11.32
95 2 4 sep mon 20.4 41 1.8 0 1.47
96 2 4 sep sat 24.1 29 4.5 0 0
97 2 4 sep sat 28.6 27 2.2 0 1.61
98 2 4 sep sun 16 45 1.8 0 0
99 2 4 sep sun 24.9 27 2.2 0 0
100 2 4 sep sun 12.2 78 6.3 0 0
101 2 4 sep wed 21.8 34 2.2 0 6.04
117 2 5 sep fri 16.2 58 3.6 0 9.96
118 2 5 sep mon 21.9 39 1.8 0 0.47
119 2 5 sep mon 19.3 44 2.2 0 3.93
120 2 5 sep tue 17.6 46 3.1 0 7.04
121 2 5 sep wed 18.3 45 2.2 0 4.88
122 3 3 sep sat 24.2 27 3.1 0 6.58
154 3 4 sep fri 19.8 50 5.4 0 0
155 3 4 sep fri 18.6 49 3.6 0 35.88
156 3 4 sep fri 17.4 57 4.5 0 0
157 3 4 sep mon 18.9 35 2.7 0 0
158 3 4 sep sun 22.8 39 3.6 0 0
159 3 4 sep sun 22.5 42 5.4 0 0
160 3 4 sep sun 23.8 35 3.6 0 5.18
161 3 4 sep sun 20.6 55 5.4 0 24.59
162 3 4 sep thu 22.8 46 4 0 4.95
163 3 4 sep tue 17.9 45 3.1 0 0
164 3 4 sep tue 13.9 59 6.3 0 11.24
165 3 4 sep wed 18.5 30 2.7 0 0
171 3 5 sep fri 17.2 43 3.1 0 0
172 3 5 sep thu 12.9 39 2.7 0 2.18
175 3 6 sep mon 15.6 66 3.1 0 0
176 3 6 sep sun 17.2 58 1.3 0 0
191 4 3 sep fri 17.3 45 4 0 3.94
192 4 3 sep fri 19.9 44 3.1 0 7.8
193 4 3 sep mon 9.8 86 1.8 0 0
194 4 3 sep sat 23.5 27 4 0 3.33
195 4 3 sep sun 20.4 55 4.9 0 3.64
196 4 3 sep thu 27.7 24 2.2 0 0
197 4 3 sep tue 17.8 63 4.9 0 0
198 4 3 sep tue 15.9 53 2.2 0 2.93
221 4 4 sep fri 15.4 53 6.3 0 7.31
222 4 4 sep fri 20.8 35 4.9 0 13.06
223 4 4 sep fri 20.8 35 4.9 0 1.26
224 4 4 sep mon 17.7 39 2.2 0 3.07
225 4 4 sep sat 19.6 48 2.7 0 0
226 4 4 sep sat 17.1 41 2.2 0 11.22
227 4 4 sep sun 17.8 64 1.3 0 0
228 4 4 sep sun 16.9 60 1.3 0 29.48
229 4 4 sep sun 22.9 39 4.9 0 48.55
230 4 4 sep thu 20.8 17 1.3 0 0
231 4 4 sep thu 19.2 24 4.9 0 3.78
232 4 4 sep wed 12.9 74 4.9 0 0
233 4 4 sep wed 26.4 21 4.5 0 88.49
234 4 4 sep wed 19.7 41 1.8 0 1.58
248 4 5 sep fri 17.7 37 3.6 0 0
249 4 5 sep mon 17.4 56 5.4 0 0
250 4 5 sep sat 20.3 45 3.1 0 0
251 4 5 sep sat 17.7 25 3.1 0 154.88
252 4 5 sep sun 13.8 77 7.6 0 0
253 4 5 sep thu 21.5 15 0.9 0 11.06
254 4 5 sep thu 22.1 34 1.8 0 14.57
255 4 5 sep thu 18.6 24 5.8 0 0
256 4 5 sep tue 15.9 38 5.4 0 1.75
257 4 5 sep tue 16.4 27 3.6 0 0
258 4 5 sep wed 24.3 25 4 0 9.41
259 4 5 sep wed 19.4 19 1.3 0 31.72
266 4 6 sep sun 28.3 26 3.1 0 64.1
267 4 6 sep thu 17.6 42 3.1 0 0
281 5 4 sep fri 27.6 30 1.3 0 0
282 5 4 sep fri 20.1 47 4.9 0 1.46
283 5 4 sep fri 10.1 75 3.6 0 0
284 5 4 sep fri 12.8 64 3.6 0 1.64
285 5 4 sep fri 10.1 75 3.6 0 3.71
286 5 4 sep fri 16.2 58 3.6 0 0
287 5 4 sep mon 19.1 38 2.7 0 0
288 5 4 sep sat 24.1 27 3.1 0 0
289 5 4 sep thu 21.6 28 6.3 0 4.41
290 5 4 sep wed 21.9 35 1.8 0 2.57
296 5 6 sep mon 14.7 70 3.6 0 0
297 5 6 sep wed 25.9 24 4 0 0
308 6 3 sep fri 25.4 24 3.6 0 0
309 6 3 sep fri 20.6 37 1.8 0 0
310 6 3 sep fri 15.9 55 3.6 0 0
311 6 3 sep fri 19.7 39 2.7 0 0
312 6 3 sep mon 11.2 78 7.6 0 0
313 6 3 sep mon 21.2 32 2.7 0 0
314 6 3 sep mon 23 34 2.2 0 56.04
315 6 3 sep mon 20.6 37 1.8 0 0
316 6 3 sep mon 12.2 66 4.9 0 6.1
317 6 3 sep sat 30.2 24 2.7 0 0
318 6 3 sep sun 22.8 39 3.6 0 0
319 6 3 sep sun 17.7 39 3.6 0 0
320 6 3 sep sun 24.8 28 1.8 0 14.29
321 6 3 sep thu 18.9 34 7.2 0 34.36
322 6 3 sep tue 18.2 62 4.5 0 0
330 6 4 sep tue 18.3 40 2.7 0 0
331 6 4 sep tue 18.7 43 2.7 0 103.39
363 6 5 sep fri 22.9 44 5.4 0 0
364 6 5 sep fri 19.6 33 6.3 0 19.23
365 6 5 sep fri 18.4 42 2.2 0 1.09
366 6 5 sep fri 10.3 78 4 0 18.3
367 6 5 sep mon 21.3 42 2.2 0 0
368 6 5 sep sat 25.1 27 4 0 1090.84
369 6 5 sep sat 21.2 32 2.2 0 0
370 6 5 sep sat 19.7 35 1.8 0 0
371 6 5 sep sat 16.8 47 4.9 0 12.64
372 6 5 sep sat 15.4 57 4.9 0 39.35
373 6 5 sep sat 17 67 4.9 0 3.95
374 6 5 sep thu 21.6 27 2.2 0 0
375 6 5 sep thu 16.8 28 4 0 1.01
376 6 5 sep thu 13.7 56 1.8 0 4.42
377 6 5 sep tue 21.1 35 2.7 0 5.65
378 6 5 sep tue 19.6 45 3.1 0 20.03
379 6 5 sep wed 26.4 21 4.5 0 0
380 6 5 sep wed 24.3 27 4.9 0 0
415 7 4 sep fri 19 34 5.8 0 0
416 7 4 sep fri 19 34 5.8 0 1.69
417 7 4 sep fri 20.1 47 4.9 0 26.13
418 7 4 sep fri 20.6 43 3.6 0 2.03
419 7 4 sep fri 19.8 47 2.7 0 1.72
420 7 4 sep fri 18.7 50 2.2 0 5.97
421 7 4 sep fri 15.2 64 3.1 0 0.52
422 7 4 sep mon 19.4 48 1.3 0 0
423 7 4 sep mon 19.3 44 2.2 0 0
424 7 4 sep sat 21.5 28 4.5 0 15.64
425 7 4 sep sun 17.1 53 5.4 0 0.41
426 7 4 sep sun 25.3 27 2.7 0 0
427 7 4 sep sun 13.8 77 7.6 0 11.06
428 7 4 sep thu 19.4 45 3.6 0 0
429 7 4 sep wed 15.4 57 4.5 0 37.71
430 7 4 sep wed 10.5 77 4 0 0
438 7 5 sep sat 22.8 40 4 0 0
439 7 5 sep sat 17.8 51 7.2 0 0
440 7 5 sep sat 19.3 38 4 0 0
441 7 5 sep tue 20.7 37 2.2 0 17.2
445 8 3 sep thu 23.2 26 4.9 0 23.41
446 8 3 sep tue 24.2 28 3.6 0 0.96
451 8 5 sep sun 17.8 67 2.2 0 2.01
497 8 6 sep fri 20.7 46 2.7 0 30.18
498 8 6 sep mon 22.7 35 2.2 0 7.48
499 8 6 sep mon 15.7 51 2.2 0 0
500 8 6 sep mon 15.9 51 4.5 0 2.18
501 8 6 sep sat 17.8 56 1.8 0 1.95
502 8 6 sep thu 23.7 25 4.5 0 1.12
503 8 6 sep tue 13.1 63 5.4 0 0
508 9 4 sep tue 24.3 36 3.1 0 105.66
